date,shift_group,alignment_variable,n_valid,optimal_shift_s,peak_r,peak_r_raw,zero_lag_r,peak_margin,second_peak_r,monotonic_halfwidth_s,left_halfwidth_s,right_halfwidth_s,concavity_fraction,decision,reason,n_vars_shifted
2022-06-07,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,328,-10.0,0.3152,0.3621,0.0555,0.105,0.2102,15.0,20.0,15.0,0.6667,SHIFT,,15
2022-06-07,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,28384,-30.0,0.2591,0.2627,0.2043,0.0074,0.2516,0.0,0.0,33.0,1.0,SKIP,monotonic_halfwidth_s<5,0
2022-06-07,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,21919,-2.0,0.1354,0.1451,0.132,0.0249,0.1105,16.0,21.0,16.0,0.619,SKIP,peak_r<0.2,0
2022-06-10,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,18135,4.0,0.1536,0.1545,0.1518,0.0035,0.15,26.0,34.0,26.0,1.0,SKIP,peak_r<0.2,0
2022-06-10,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,313,-30.0,-0.1339,-0.1227,-0.2411,0.035,-0.1689,0.0,0.0,28.0,0.6364,SKIP,peak_r<0.2; monotonic_halfwidth_s<5,0
2022-06-10,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,30097,14.0,0.2627,0.286,0.1079,0.0557,0.207,16.0,43.0,16.0,0.5714,SHIFT,,2
2022-06-10,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,12076,-1.0,0.4993,0.5178,0.4971,0.0576,0.4417,29.0,29.0,31.0,1.0,SHIFT,,20
2022-06-11,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,21002,-2.0,0.0121,0.0135,0.0114,0.0031,0.009,28.0,28.0,32.0,0.7619,SKIP,peak_r<0.2,0
2022-06-11,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,240,-30.0,-0.1478,-0.1278,-0.2263,0.018,-0.1658,0.0,0.0,19.0,1.0,SKIP,n_valid=240<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2022-06-11,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,28044,13.0,0.2634,0.3043,0.064,0.0953,0.1681,17.0,22.0,17.0,0.4762,SHIFT,,2
