date,shift_group,alignment_variable,n_valid,optimal_shift_s,peak_r,peak_r_raw,zero_lag_r,peak_margin,second_peak_r,monotonic_halfwidth_s,left_halfwidth_s,right_halfwidth_s,concavity_fraction,decision,reason,n_vars_shifted
2021-01-27,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2021-01-27,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2021-01-27,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,7029,15.0,0.5102,0.5102,0.4935,0.0028,0.5074,15.0,45.0,15.0,0.9524,SHIFT,,2
2021-01-27,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2021-01-29,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,6999,24.0,0.5536,0.5553,0.5021,0.0027,0.551,6.0,54.0,6.0,0.8235,SHIFT,,14
2021-01-29,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,131,13.0,0.1707,0.2177,-0.1634,0.1769,-0.0062,13.0,13.0,17.0,0.5714,SKIP,n_valid=131<300; peak_r<0.2,0
2021-01-29,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,9424,22.0,0.4848,0.5235,0.1793,0.0753,0.4095,8.0,48.0,8.0,0.5263,SHIFT,,2
2021-01-29,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,8195,10.0,0.4851,0.5043,0.3293,0.0499,0.4353,20.0,40.0,20.0,0.8571,SHIFT,,20
2021-02-03,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,7587,30.0,0.7463,0.7472,0.6486,0.0053,0.741,0.0,60.0,0.0,1.0,SKIP,monotonic_halfwidth_s<5,0
2021-02-03,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,173,26.0,0.3592,0.3805,-0.425,0.1792,0.18,4.0,22.0,4.0,0.6667,SKIP,n_valid=173<300; monotonic_halfwidth_s<5,0
2021-02-03,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,10245,27.0,0.5134,0.5214,0.3772,0.0227,0.4907,3.0,57.0,3.0,0.7143,SKIP,monotonic_halfwidth_s<5,0
2021-02-03,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,9433,14.0,0.3977,0.4062,0.2372,0.0224,0.3753,16.0,44.0,16.0,1.0,SHIFT,,20
2021-03-04,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2021-03-04,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2021-03-04,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,4191,16.0,0.9242,0.9281,0.8774,0.0096,0.9146,14.0,46.0,14.0,0.8095,SHIFT,,2
2021-03-04,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,10183,4.0,0.7997,0.802,0.7958,0.0068,0.7929,26.0,34.0,26.0,0.9048,SHIFT,,20
2021-03-05,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2021-03-05,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2021-03-05,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,11887,16.0,0.8113,0.8224,0.7331,0.023,0.7882,14.0,46.0,14.0,0.619,SHIFT,,2
2021-03-05,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,27964,2.0,0.6499,0.6537,0.6486,0.0121,0.6378,28.0,32.0,28.0,0.9048,SHIFT,,20
2021-03-08,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2021-03-08,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2021-03-08,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,6545,16.0,0.8896,0.8917,0.8603,0.0052,0.8844,14.0,46.0,14.0,0.8571,SHIFT,,2
2021-03-08,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,11919,3.0,0.7614,0.7632,0.7604,0.0047,0.7568,27.0,33.0,27.0,1.0,SHIFT,,20
2021-03-09,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2021-03-09,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2021-03-09,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,5357,15.0,0.8764,0.8911,0.6688,0.0612,0.8152,15.0,17.0,15.0,0.7143,SHIFT,,2
2021-03-09,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,11430,3.0,0.8376,0.8613,0.8229,0.0616,0.776,27.0,33.0,27.0,0.7619,SHIFT,,20
2021-03-12,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2021-03-12,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
