variable,apply_time_shift,shift_group,alignment_variable,instrument,rationale,in_2020,in_2021
In-situ_state_and_aircraft_measurements_from_the_NASA_HU-25_Longitude,NO,,,SUMMARY,Aircraft state/navigation data - not composition dependent,Y,Y
In-situ_state_and_aircraft_measurements_from_the_NASA_HU-25_Pitch,NO,,,SUMMARY,Aircraft state/navigation data - not composition dependent,Y,Y
In-situ_state_and_aircraft_measurements_from_the_NASA_HU-25_Pressure_Altitude,NO,,,SUMMARY,Aircraft state/navigation data - not composition dependent,Y,Y
In-situ_state_and_aircraft_measurements_from_the_NASA_HU-25_Roll,NO,,,SUMMARY,Aircraft state/navigation data - not composition dependent,Y,Y
In-situ_state_and_aircraft_measurements_from_the_NASA_HU-25_Static_Air_Temp,NO,,,SUMMARY,Aircraft state/navigation data - not composition dependent,Y,Y
In-situ_state_and_aircraft_measurements_from_the_NASA_HU-25_Static_Pressure,NO,,,SUMMARY,Aircraft state/navigation data - not composition dependent,Y,Y
In-situ_state_and_aircraft_measurements_from_the_NASA_HU-25_True_Air_Speed,NO,,,SUMMARY,Aircraft state/navigation data - not composition dependent,Y,Y
In-situ_state_and_aircraft_measurements_from_the_NASA_HU-25_True_Heading,NO,,,SUMMARY,Aircraft state/navigation data - not composition dependent,Y,Y
In-situ_state_and_aircraft_measurements_from_the_NASA_HU-25_Wind_Direction,NO,,,SUMMARY,Aircraft state/navigation data - not composition dependent,Y,Y
In-situ_state_and_aircraft_measurements_from_the_NASA_HU-25_Wind_Speed,NO,,,SUMMARY,Aircraft state/navigation data - not composition dependent,Y,Y
In_Situ_Infrared_Cavity_Ringdown_Absorption_Measurements_of_CH4_CH4_ppm,NO,,,TraceGas-CH4,Trace gas - correlation with LAS aerosol concentration expected to be weak; skip shift to avoid noise-driven misalignment,Y,
In_Situ_Infrared_Cavity_Ringdown_Absorption_Measurements_of_CO2_CO2_ppm,NO,,,TraceGas-CO2,Trace gas - correlation with LAS aerosol concentration expected to be weak; skip shift to avoid noise-driven misalignment,Y,
In_Situ_Infrared_Cavity_Ringdown_Absorption_Measurements_of_CO_CO_ppm,NO,,,TraceGas-CO,Trace gas - correlation with LAS aerosol concentration expected to be weak; skip shift to avoid noise-driven misalignment,Y,
Particle-into-Liquid_Sampler_+_Offline_Ion_Chromatography_Calcium,NO,,,PILS,PILS collects at hour-scale integration time; cannot be aligned at second precision,Y,
Particle-into-Liquid_Sampler_+_Offline_Ion_Chromatography_Chloride,NO,,,PILS,PILS collects at hour-scale integration time; cannot be aligned at second precision,Y,
Particle-into-Liquid_Sampler_+_Offline_Ion_Chromatography_Magnesium,NO,,,PILS,PILS collects at hour-scale integration time; cannot be aligned at second precision,Y,
Particle-into-Liquid_Sampler_+_Offline_Ion_Chromatography_Nitrate,NO,,,PILS,PILS collects at hour-scale integration time; cannot be aligned at second precision,Y,
Particle-into-Liquid_Sampler_+_Offline_Ion_Chromatography_Oxalate,NO,,,PILS,PILS collects at hour-scale integration time; cannot be aligned at second precision,Y,
Particle-into-Liquid_Sampler_+_Offline_Ion_Chromatography_Potassium,NO,,,PILS,PILS collects at hour-scale integration time; cannot be aligned at second precision,Y,
Particle-into-Liquid_Sampler_+_Offline_Ion_Chromatography_Sodium,NO,,,PILS,PILS collects at hour-scale integration time; cannot be aligned at second precision,Y,
Particle-into-Liquid_Sampler_+_Offline_Ion_Chromatography_Sulfate,NO,,,PILS,PILS collects at hour-scale integration time; cannot be aligned at second precision,Y,
